country,happiness,mortality_under5_per_1k,log_gdp_per_capita,gini_percent,education_expected,taxes_percent_gdp,co2_per_capita
Iraq,4.6969243885,34.0,4.160512748269944,29.54,10.082469999999999,29.91221769033333,4.208272413
Ireland,7.066190719555555,3.8,4.652546490667105,32.06,18.56885,22.006956424000002,7.880759326000001
Israel,7.233223628999999,4.0,4.4903356751750865,42.78,15.95261,22.127312373000002,8.952413531
Italy,6.2676051617,3.6,4.533609894216753,35.52,16.04201,22.374085076,6.702557614
Jamaica,5.650438427750001,16.6,3.934834407122595,45.51,12.35561,27.068312529,2.872655693
Japan,6.0559123036999996,2.9,4.551624533663332,32.11,15.326329999999999,10.08687665,9.291834303
Jordan,5.4973468779,18.7,4.057152578814928,33.69,13.50864,15.257585849000002,3.6011470639999996
Kazakhstan,5.7228479385,16.3,4.3515399445682785,28.56,15.023470000000001,15.796586502333332,15.81009754
Kenya,4.3350686789,70.7,3.4322191597967735,47.68,10.98451,15.902177027999999,0.322830855
Kuwait,6.357992470125,9.5,4.915704864426059,29.00333333333333,14.746554999999999,0.7163191459999999,29.13222464
Kyrgyzstan,4.983004331599999,24.2,3.4927418439772255,33.39,12.51298,18.116687114,1.1995916290000002
Laos,5.0128027918,71.4,3.669069444417822,36.22,10.57806,14.832001936,0.18443767600000002
Latvia,5.106897777888888,8.4,4.338945657540092,36.03,15.24266,13.821479658,3.786801437
Lebanon,5.0125522614,9.1,4.2207077192190745,37.67666666666667,13.7537,15.483579865,4.674540418
Lesotho,4.89751482,98.0,3.396829181225789,54.17,11.140939999999999,58.691400368000004,1.08410084
Liberia,3.8783657552,71.1,2.929332530430903,38.16,9.5,20.885359503,0.218418427
Libya,5.68489933,14.5,4.309016983769265,37.67666666666667,14.03684,15.37917316266667,6.39342247
Lithuania,5.6485665324,4.9,4.388857569002132,32.63,16.38875,13.377849172000001,4.537558514
Luxembourg,6.977739606571428,2.0,4.943184843189905,29.00333333333333,13.88,25.530817075,20.8978117
Macedonia,4.7506570219999995,6.6,4.064793650356743,44.2,13.35395,16.705964725,4.437580862
Madagascar,3.947943346714286,56.0,3.1362868207589827,40.63,10.34581,10.096434285,0.11299245599999999
Malawi,4.32003492125,67.9,2.8779365832567487,46.18,10.75378,30.28677043433333,0.078048881
Malaysia,5.8778280256999995,8.5,4.353904146830308,46.21,12.730960000000001,16.098837518,7.847738103999999
Mali,4.120064788333334,122.7,3.201169633196122,33.02,8.42596,15.767779074000002,0.086735785
Malta,6.237791674428571,6.1,4.459813410023721,28.53333333333333,14.40634,27.019901923000003,6.034321639
Mauritania,4.414705488333333,90.1,3.4691191519802285,40.46,8.50027,14.33495714733333,0.623915168
Mauritius,5.5624265675,14.3,4.221356815099009,35.9,15.576179999999999,18.990475083,3.127070817
Mexico,6.8288645267,14.5,4.2119427478379245,48.07,13.060260000000001,16.461929578666663,3.908712496
Moldova,5.6002421379000005,15.4,3.6551896942926545,30.63,11.86843,18.644926841,1.3988217930000002
Mongolia,4.790549993499999,31.8,3.96058044107248,36.52,14.59402,18.235731878,6.927361359
Montenegro,5.17202883975,5.3,4.15080373701804,30.63,15.17869,29.91221769033333,4.145547583
Morocco,4.9486388204,30.4,3.843061970576561,40.88,11.562660000000001,24.492466440999998,1.763531559
Mozambique,4.720395374200001,87.2,3.0292314138512575,45.66,9.28123,20.790494929,0.13351434
Myanmar,4.406175971,50.5,3.7242662267632194,38.39666666666667,8.627,12.666955740333336,0.19942305300000002
Namibia,4.729789257,49.8,3.967350111372694,61.32,11.34352,23.10697741,1.251757065
Nepal,4.5456666233,39.7,3.3370178321702677,32.82,12.35305,15.335364102,0.15960875800000002
Netherlands,7.459492895222222,4.0,4.652677448797996,28.87,17.92333,19.724058916,10.06448974
New Zealand,7.328727510000001,6.3,4.51597501644979,28.763333333333332,19.15634,29.274728302,7.124050867
Nicaragua,5.435294675800001,23.5,3.65261052110078,45.73,11.509,14.849889027,0.8296343559999999
Niger,4.0540842294,104.2,2.947830391379679,31.16,5.42265,11.337821921,0.086170201
Nigeria,4.94036996375,117.4,3.7342150454812675,42.95,8.98858,1.556757245,0.536115274
Norway,7.554830265000001,2.8,4.795518656475409,26.83,17.49259,27.288096905,9.192879069
Oman,6.852982044,11.4,4.6486766364541205,29.00333333333333,13.63765,2.574359766,21.44112651
Pakistan,5.2100003244,85.5,3.6487575089595374,29.63,7.788760000000001,11.132404411,0.927832445
Palestine,4.6084873676,21.8,3.651707616007775,34.46,13.00348,5.128366306,0.572406877
Panama,6.8519357205,17.9,4.2740052032745774,51.9,13.279739999999999,15.922047187,2.5843537999999997
Paraguay,5.5101672172,21.9,3.893932229505512,48.01,11.911539999999999,12.794241379,0.8061367420000001
Peru,5.5228322027,16.7,4.056771228847011,45.33,13.0655,16.544732094,1.791964427
Philippines,4.9986884117,29.9,3.8011440453320238,43.03,11.27717,12.880076975,0.862803677
Poland,5.795330736555555,5.2,4.3594033220838435,32.78,15.465589999999999,15.98390736,8.335786706
Portugal,5.224520623750001,3.8,4.408165800312815,30.663333333333334,16.31495,20.341406305,4.709849623999999
Qatar,6.5689818382,8.2,5.105721997285676,29.95,13.78672,14.654950960999999,43.89303638
Romania,5.277189413777779,12.0,4.260078598168115,27.33,14.2108,18.838970327000002,4.210560124
Russia,5.492756032999999,10.1,4.372252849049391,39.69,14.68839,15.055674849,12.64732823
Rwanda,3.822889149125,52.0,3.15423106578943,50.82,10.274189999999999,13.371710526,0.059557451
Saudi Arabia,6.582754898099999,15.5,4.716570613002863,29.00333333333333,16.274179999999998,9.946080304666669,18.74082287
Senegal,4.2650192976,55.3,3.3364751854511017,40.31,7.94567,19.182225001,0.589493364
Serbia,4.8867453337499995,6.6,4.11034647229908,29.65,14.387120000000001,19.721392850999997,6.799114997
Sierra Leone,4.096130341375,160.6,3.1745390845614487,35.35,8.5733775,11.696498229000001,0.153169615
Singapore,6.598958969,2.8,4.882164622440335,29.95,15.4,13.968075202,4.320151436000001
Slovakia,5.915773187428572,7.2,4.419350057201831,26.58,15.063220000000001,12.171470545999998,6.367545917
Slovenia,5.902095198625,2.9,4.4405282037433755,24.87,16.80578,17.541665438,7.504259702000001
South Africa,4.8946516276,43.9,4.082984700906965,65.02,13.557939999999999,26.496690123,9.257216472
South Korea,5.8743024827,3.7,4.514655415791131,31.013333333333332,16.87441,14.435655795,11.84075687
South Sudan,3.9513818025000003,99.2,3.2932817971617485,37.07,7.56,14.911301480333336,1.3803937589999995
Spain,6.562484455100001,4.2,4.499637324600858,35.75,17.34512,7.078465973999999,5.790764234
Sri Lanka,4.3028589963,9.6,3.974315335412711,36.4,13.71335,11.993201573,0.72992084
Sudan,4.3787411689999995,76.6,3.5138529871946265,35.29,6.99558,13.544939749666668,0.354150545
Suriname,6.269286632999999,22.8,4.191893545443505,44.77,12.6909,19.418654572999998,3.6063564510000004
Swaziland,4.867091179,80.0,3.8109636272841114,51.49,11.33191,15.559569189000001,0.8652016770000001
Sweden,7.3800132276,3.0,4.640890975711717,26.08,15.81512,20.680986756,5.518421481
